timestamp,ear,mar,blink_count,fatigue_score,status
2026-06-30 09:52:10,0.2347,0.4312,0,6.22,Distracted
2026-06-30 09:52:11,0.2155,0.4469,0,37.06,Awake
2026-06-30 09:52:12,0.2093,0.5820,0,56.55,Distracted
2026-06-30 09:52:13,0.0416,0.4953,0,81.29,Drowsy
2026-06-30 09:52:14,0.2064,0.5007,0,88.54,Drowsy
2026-06-30 09:52:15,0.1984,0.5106,0,70.09,Sleepy
2026-06-30 09:52:16,0.2325,0.4847,1,62.83,Distracted
2026-06-30 09:52:17,0.2051,0.4504,1,59.70,Distracted
2026-06-30 09:52:18,0.2133,0.5292,3,54.02,Distracted
2026-06-30 09:52:19,0.2249,0.3628,4,49.86,Awake
2026-06-30 09:52:20,0.1933,0.4811,5,56.49,Distracted
2026-06-30 09:52:21,0.2169,0.5857,6,62.34,Distracted
2026-06-30 09:52:22,0.2421,0.5653,6,57.67,Distracted
2026-06-30 09:52:23,0.3042,0.5159,6,39.96,Distracted
2026-06-30 09:52:24,0.1940,0.4294,6,21.89,Blinking
2026-06-30 09:52:25,0.2259,0.4593,6,20.10,Awake
2026-06-30 09:52:26,0.2101,0.4992,7,38.30,Distracted
2026-06-30 09:52:28,0.2495,0.6097,8,54.06,Yawning
2026-06-30 09:52:29,0.3203,0.7224,8,48.93,Yawning
2026-06-30 09:52:30,0.3289,0.6571,8,21.61,Yawning
2026-06-30 09:52:31,0.5481,1.3395,8,11.80,Yawning
2026-06-30 09:52:32,0.2153,0.5526,9,7.40,Distracted
2026-06-30 09:52:33,0.1514,0.6383,10,10.28,Yawning
2026-06-30 09:52:34,0.5145,0.8476,11,10.05,Yawning
2026-06-30 09:52:35,0.5565,1.1843,11,10.01,Yawning
2026-06-30 09:52:36,0.2202,0.5708,12,8.06,Distracted
2026-06-30 09:52:37,0.2243,0.5097,13,3.25,Distracted
2026-06-30 09:52:38,0.2545,0.8516,13,18.66,Yawning
2026-06-30 09:52:39,0.1992,0.6707,13,48.60,Yawning
2026-06-30 09:52:40,0.2358,0.4976,14,47.66,Distracted
2026-06-30 09:52:41,0.2333,0.4559,14,46.00,Awake
2026-06-30 09:52:42,0.0796,0.4134,15,54.47,Blinking
2026-06-30 09:52:43,0.2416,0.5363,16,63.79,Sleepy
2026-06-30 09:52:44,0.2127,0.5195,16,61.31,Sleepy
2026-06-30 09:52:45,0.1536,0.4585,17,64.81,Distracted
2026-06-30 09:52:46,0.5796,1.0565,18,46.11,Yawning
2026-06-30 09:52:47,0.4598,0.9549,18,17.26,Yawning
2026-06-30 09:52:48,0.1515,0.6318,18,12.27,Yawning
2026-06-30 09:52:49,0.3673,0.8387,19,14.13,Yawning
2026-06-30 09:52:50,0.2232,0.3592,20,42.09,Awake
2026-06-30 09:52:51,0.2352,0.4699,22,54.46,Awake
2026-06-30 09:52:52,0.2217,0.5241,23,54.16,Distracted
2026-06-30 09:52:54,0.2960,0.4104,24,55.55,Distracted
2026-06-30 09:52:55,0.1916,0.5315,24,45.29,Blinking
2026-06-30 09:52:56,0.1078,0.5804,26,43.97,Distracted
2026-06-30 09:52:57,0.3189,0.7091,27,46.79,Yawning
2026-06-30 09:52:58,0.3669,0.4750,27,19.94,Distracted
2026-06-30 09:52:59,0.4382,0.6199,27,7.60,Yawning
2026-06-30 09:53:00,0.5370,0.5018,27,3.96,Distracted
2026-06-30 09:53:01,0.3064,0.4078,27,1.04,Distracted
2026-06-30 09:53:02,0.1647,0.4124,27,0.42,Distracted
2026-06-30 09:53:03,0.3137,0.3865,27,3.63,Distracted
2026-06-30 09:53:04,0.1027,0.4573,27,13.67,Distracted
2026-06-30 09:53:05,0.2324,0.4205,29,33.12,Distracted
2026-06-30 09:53:06,0.2016,0.4466,30,52.71,Distracted
2026-06-30 09:53:07,0.2728,0.4290,30,58.86,Sleepy
2026-06-30 09:53:08,0.3313,0.6325,31,53.92,Yawning
2026-06-30 09:53:09,0.2633,0.4597,31,33.01,Distracted
2026-06-30 09:53:13,0.0000,0.0000,32,30.08,No Face Detected
2026-06-30 09:53:14,0.0000,0.0000,32,29.88,No Face Detected
2026-06-30 09:54:35,0.0000,0.0000,32,29.08,No Face Detected
2026-06-30 09:54:36,0.0000,0.0000,32,28.88,No Face Detected
2026-06-30 09:54:37,0.0000,0.0000,32,28.68,No Face Detected
2026-06-30 09:54:38,0.0000,0.0000,32,28.48,No Face Detected
2026-06-30 09:54:39,0.0000,0.0000,32,28.28,No Face Detected
2026-06-30 09:54:40,0.0000,0.0000,32,28.08,No Face Detected
2026-06-30 09:54:41,0.0000,0.0000,32,27.88,No Face Detected
2026-06-30 09:54:42,0.0000,0.0000,32,27.68,No Face Detected
2026-06-30 09:54:43,0.0000,0.0000,32,27.48,No Face Detected
2026-06-30 09:54:44,0.0000,0.0000,32,27.28,No Face Detected
2026-06-30 09:54:45,0.0000,0.0000,32,27.08,No Face Detected
2026-06-30 09:54:46,0.0000,0.0000,32,26.88,No Face Detected
2026-06-30 09:54:49,0.0000,0.0000,32,26.48,No Face Detected
2026-06-30 09:54:50,0.0000,0.0000,32,26.28,No Face Detected
2026-06-30 09:54:51,0.0000,0.0000,32,26.08,No Face Detected
