timestamp,event
2026-06-30 09:52:10,Driver Looking Down
2026-06-30 09:52:10,Driver Awake
2026-06-30 09:52:10,Driver Looking Down
2026-06-30 09:52:10,Driver Awake
2026-06-30 09:52:11,Blink Detected
2026-06-30 09:52:11,Driver Awake
2026-06-30 09:52:11,Blink Detected
2026-06-30 09:52:12,Driver Looking Down
2026-06-30 09:52:12,Blink Detected
2026-06-30 09:52:12,Driver Looking Down
2026-06-30 09:52:12,Driver Appears Sleepy
2026-06-30 09:52:13,Drowsiness Alert!
2026-06-30 09:52:14,Driver Appears Sleepy
2026-06-30 09:52:15,Driver Looking Down
2026-06-30 09:52:15,Driver Appears Sleepy
2026-06-30 09:52:16,Driver Looking Down
2026-06-30 09:52:17,Face Lost
2026-06-30 09:52:18,Yawning Detected
2026-06-30 09:52:18,Driver Looking Left
2026-06-30 09:52:19,Driver Awake
2026-06-30 09:52:19,Blink Detected
2026-06-30 09:52:19,Driver Awake
2026-06-30 09:52:19,Driver Looking Left
2026-06-30 09:52:20,Yawning Detected
2026-06-30 09:52:20,Driver Looking Left
2026-06-30 09:52:21,Driver Appears Sleepy
2026-06-30 09:52:21,Driver Looking Left
2026-06-30 09:52:21,Yawning Detected
2026-06-30 09:52:21,Driver Looking Down
2026-06-30 09:52:21,Yawning Detected
2026-06-30 09:52:22,Driver Looking Left
2026-06-30 09:52:22,Yawning Detected
2026-06-30 09:52:22,Driver Looking Left
2026-06-30 09:52:22,Driver Appears Sleepy
2026-06-30 09:52:22,Driver Looking Left
2026-06-30 09:52:23,Driver Awake
2026-06-30 09:52:23,Driver Looking Left
2026-06-30 09:52:24,Driver Awake
2026-06-30 09:52:24,Blink Detected
2026-06-30 09:52:25,Driver Awake
2026-06-30 09:52:25,Driver Looking Down
2026-06-30 09:52:25,Driver Awake
2026-06-30 09:52:25,Driver Looking Down
2026-06-30 09:52:25,Driver Awake
2026-06-30 09:52:26,Driver Looking Down
2026-06-30 09:52:26,Driver Awake
2026-06-30 09:52:26,Blink Detected
2026-06-30 09:52:26,Driver Looking Down
2026-06-30 09:52:26,Yawning Detected
2026-06-30 09:52:26,Driver Looking Down
2026-06-30 09:52:27,Blink Detected
2026-06-30 09:52:27,Driver Looking Down
2026-06-30 09:52:28,Yawning Detected
2026-06-30 09:52:28,Driver Looking Left
2026-06-30 09:52:28,Yawning Detected
2026-06-30 09:52:29,Driver Looking Left
2026-06-30 09:52:30,Yawning Detected
2026-06-30 09:52:30,Driver Looking Left
2026-06-30 09:52:30,Yawning Detected
2026-06-30 09:52:31,Driver Looking Up
2026-06-30 09:52:32,Blink Detected
2026-06-30 09:52:32,Driver Looking Up
2026-06-30 09:52:32,Yawning Detected
2026-06-30 09:52:32,Driver Looking Up
2026-06-30 09:52:32,Yawning Detected
2026-06-30 09:52:32,Blink Detected
2026-06-30 09:52:32,Yawning Detected
2026-06-30 09:52:35,Driver Looking Left
2026-06-30 09:52:36,Yawning Detected
2026-06-30 09:52:36,Driver Looking Left
2026-06-30 09:52:36,Blink Detected
2026-06-30 09:52:36,Driver Looking Left
2026-06-30 09:52:36,Blink Detected
2026-06-30 09:52:36,Driver Awake
2026-06-30 09:52:37,Driver Looking Left
2026-06-30 09:52:37,Yawning Detected
2026-06-30 09:52:37,Driver Looking Left
2026-06-30 09:52:37,Yawning Detected
2026-06-30 09:52:38,Driver Looking Left
2026-06-30 09:52:38,Yawning Detected
2026-06-30 09:52:39,Driver Awake
2026-06-30 09:52:39,Blink Detected
2026-06-30 09:52:40,Driver Awake
2026-06-30 09:52:40,Driver Looking Left
2026-06-30 09:52:40,Driver Awake
2026-06-30 09:52:40,Driver Looking Left
2026-06-30 09:52:40,Driver Awake
2026-06-30 09:52:41,Blink Detected
2026-06-30 09:52:42,Driver Looking Left
2026-06-30 09:52:42,Blink Detected
2026-06-30 09:52:42,Driver Awake
2026-06-30 09:52:42,Blink Detected
2026-06-30 09:52:42,Driver Appears Sleepy
2026-06-30 09:52:43,Yawning Detected
2026-06-30 09:52:43,Driver Appears Sleepy
2026-06-30 09:52:44,Driver Looking Left
2026-06-30 09:52:44,Driver Appears Sleepy
2026-06-30 09:52:44,Driver Looking Left
2026-06-30 09:52:44,Driver Appears Sleepy
2026-06-30 09:52:44,Driver Looking Left
2026-06-30 09:52:44,Driver Appears Sleepy
2026-06-30 09:52:44,Driver Looking Down
2026-06-30 09:52:45,Driver Appears Sleepy
2026-06-30 09:52:45,Driver Looking Left
2026-06-30 09:52:45,Face Lost
2026-06-30 09:52:45,Yawning Detected
2026-06-30 09:52:46,Face Lost
2026-06-30 09:52:46,Driver Looking Left
2026-06-30 09:52:46,Yawning Detected
2026-06-30 09:52:46,Face Lost
2026-06-30 09:52:47,Yawning Detected
2026-06-30 09:52:48,Driver Looking Left
2026-06-30 09:52:48,Yawning Detected
2026-06-30 09:52:48,Blink Detected
2026-06-30 09:52:48,Driver Looking Left
2026-06-30 09:52:48,Yawning Detected
2026-06-30 09:52:49,Driver Looking Left
2026-06-30 09:52:49,Yawning Detected
2026-06-30 09:52:49,Driver Looking Left
2026-06-30 09:52:49,Yawning Detected
2026-06-30 09:52:50,Driver Looking Left
2026-06-30 09:52:50,Yawning Detected
2026-06-30 09:52:50,Driver Looking Left
2026-06-30 09:52:50,Blink Detected
2026-06-30 09:52:50,Driver Awake
2026-06-30 09:52:51,Blink Detected
2026-06-30 09:52:51,Driver Awake
2026-06-30 09:52:51,Blink Detected
2026-06-30 09:52:51,Driver Awake
2026-06-30 09:52:51,Blink Detected
2026-06-30 09:52:51,Driver Appears Sleepy
